"","id","condition","N","ncorrect","accuracy","median_rt"
"104","sub-147","speed",60,46,0.766666666666667,1.28288969749997
"105","sub-149","accuracy",60,44,0.733333333333333,1.01749460003339
"106","sub-149","speed",60,50,0.833333333333333,2.13639669999248
"107","sub-150","accuracy",60,32,0.533333333333333,1.57988469649991
"108","sub-150","speed",59,41,0.694915254237288,1.69171245199959
"109","sub-154","accuracy",59,50,0.847457627118644,1.21052005900003
"110","sub-154","speed",60,46,0.766666666666667,1.50126280249998
"111","sub-155","accuracy",60,31,0.516666666666667,1.53033093749945
"112","sub-155","speed",59,40,0.677966101694915,1.07543279199672
"113","sub-158","accuracy",60,41,0.683333333333333,2.5422111999942
"114","sub-158","speed",60,45,0.75,1.85373410000466
"115","sub-159","accuracy",57,46,0.807017543859649,3.24043160001747
"116","sub-159","speed",59,46,0.779661016949153,2.215598699986
"117","sub-160","accuracy",59,50,0.847457627118644,3.06238510005642
"118","sub-160","speed",60,54,0.9,1.52304554998409
"119","sub-161","accuracy",60,38,0.633333333333333,1.82422045012936
"120","sub-161","speed",60,50,0.833333333333333,2.24787760002073
"121","sub-163","accuracy",60,47,0.783333333333333,2.11140481200345
"122","sub-163","speed",60,41,0.683333333333333,1.03833335399758
"123","sub-164","accuracy",59,46,0.779661016949153,2.57758799998555
"124","sub-164","speed",60,36,0.6,0.658911800011992
"125","sub-165","accuracy",60,43,0.716666666666667,1.81424344999869
"126","sub-165","speed",60,30,0.5,0.573538399999961
"127","sub-167","accuracy",60,34,0.566666666666667,2.21676599999773
"128","sub-167","speed",60,35,0.583333333333333,0.621958875002747
"129","sub-178","accuracy",59,32,0.542372881355932,1.34419729199726
"130","sub-178","speed",60,39,0.65,0.974478749980336
"131","sub-182","accuracy",60,55,0.916666666666667,1.04334005
"132","sub-182","speed",60,49,0.816666666666667,1.0387958
"133","sub-187","accuracy",59,37,0.627118644067797,3.78109512498486
"134","sub-187","speed",60,30,0.5,3.73982254150905
"135","sub-188","accuracy",59,57,0.966101694915254,1.11141859999998
"136","sub-188","speed",60,57,0.95,0.939511500000094
"137","sub-189","accuracy",60,49,0.816666666666667,0.750128000014229
"138","sub-189","speed",60,50,0.833333333333333,0.485634849959752
"139","sub-195","accuracy",60,60,1,0.606348150002304
"140","sub-195","speed",60,57,0.95,0.62812245002715
"141","sub-197","accuracy",59,39,0.661016949152542,3.81390208299854
"142","sub-197","speed",60,37,0.616666666666667,4.02757033349189
"143","sub-205","accuracy",60,54,0.9,1.02978295
"144","sub-205","speed",60,51,0.85,1.01918405
"145","sub-207","accuracy",60,40,0.666666666666667,1.31198768699869
"146","sub-207","speed",60,39,0.65,1.02505408250181
"147","sub-209","accuracy",60,32,0.533333333333333,0.986587909501395
"148","sub-209","speed",60,40,0.666666666666667,0.985808167999494
"149","sub-216","accuracy",60,37,0.616666666666667,3.65888897900026
"150","sub-216","speed",60,36,0.6,1.91424602050006
"151","sub-217","accuracy",59,36,0.610169491525424,1.34202160000132
"152","sub-217","speed",55,36,0.654545454545455,2.47596730000078
"153","sub-218","accuracy",60,35,0.583333333333333,1.81604968650027
"154","sub-218","speed",60,34,0.566666666666667,1.51286722850091
"155","sub-222","accuracy",58,37,0.637931034482759,3.64932239600239
"156","sub-222","speed",60,42,0.7,1.62239174999922
"157","sub-223","accuracy",59,59,1,0.816436784996768
"158","sub-223","speed",60,51,0.85,0.545916056995338
"159","sub-224","accuracy",43,32,0.744186046511628,5.63953717298864
"160","sub-224","speed",58,44,0.758620689655172,1.50542500000302
"161","sub-225","accuracy",56,46,0.821428571428571,3.64156770950649
"162","sub-225","speed",60,41,0.683333333333333,1.79387000150746
