"id","rt_congruent","rt_incongruent","corr_congruent","corr_incongruent"
"sub-174",0.629479898337741,0.768639976655443,0.95,0.95
"sub-175",0.655218070000001,0.714618794999995,1,0.933333333333333
"sub-176",0.572903913333297,0.679692234999948,1,0.983333333333333
"sub-177",0.66356980833613,0.822896733331921,1,0.983333333333333
"sub-178",0.888860023699969,1.29958769714992,1,0.966666666666667
"sub-179",0.802120586666667,1.24039995833333,1,0.933333333333333
"sub-181",0.766488723332683,1.00129788166378,1,0.95
"sub-182",0.509742091677617,0.655070579994936,1,1
"sub-183",0.714267290333495,0.974258928500057,1,0.966666666666667
"sub-184",0.67789861593313,0.876170327150551,0.983333333333333,0.983333333333333
"sub-185",0.567686386966913,0.680627296033466,1,1
"sub-186",0.520314424734048,0.615125386,0.933333333333333,0.9
"sub-187",0.713545233333328,0.858495741667381,1,0.966666666666667
"sub-188",0.579298535017491,0.637576504933289,0.95,0.95
"sub-189",0.545723390766579,0.653177841182575,0.983333333333333,0.966666666666667
"sub-190",0.522449653351214,0.683953333337558,0.966666666666667,0.983333333333333
"sub-191",0.541842340334309,0.677341715183138,1,0.983333333333333
"sub-192",0.546359869765971,0.577701033966635,0.966666666666667,0.95
"sub-193",0.580524555007772,0.698886283343503,0.966666666666667,0.9
"sub-194",0.642766670782779,0.737924124932518,0.983333333333333,1
"sub-195",0.981406701660793,1.14491611832054,1,0.983333333333333
"sub-196",0.810563790316519,1.00538865899956,0.983333333333333,0.916666666666667
"sub-197",0.713814359997438,0.900363520001216,0.983333333333333,0.816666666666667
"sub-198",0.849013776666675,1.02481065500001,1,0.966666666666667
"sub-199",0.767154458611543,0.835818029583849,0.983050847457627,1
"sub-200",0.543626724548812,0.664240739746795,0.983333333333333,0.966666666666667
"sub-202",0.585988011115114,0.671311537380583,1,1
"sub-203",0.704786648339359,0.800368698329354,1,1
"sub-204",0.74404919,0.806590851666667,1,1
"sub-205",0.537128029216789,0.579901827083328,0.95,0.95
"sub-206",0.52403029166356,0.621616115003902,0.966666666666667,0.9
"sub-207",1.201719125,1.600689205,1,0.933333333333333
"sub-208",0.723368775,0.872881688333333,1,1
"sub-209",0.959067468033997,1.11107364511602,0.933333333333333,0.95
"sub-210",0.951935070000521,1.07421082000037,1,0.933333333333333
"sub-211",0.903533231666654,0.962387065000007,0.983333333333333,1
"sub-212",0.558050589382886,0.641447742233625,1,0.95
"sub-213",0.589820418339999,0.675696855015121,1,1
"sub-214",0.566696291666206,0.651391480000166,0.983333333333333,1
"sub-215",0.63674421000178,0.891396201681346,0.983333333333333,0.933333333333333
"sub-216",0.601919003334964,0.754921138333157,1,0.85
"sub-217",0.75424811001479,0.767974638329664,1,0.966666666666667
"sub-218",0.752391129992126,0.931644506671,0.983333333333333,0.9
"sub-219",0.97142398123348,1.18980029370092,0.983333333333333,0.966666666666667
"sub-220",0.860972184733449,0.846127641667651,0.983333333333333,1
"sub-221",0.609647443833334,0.790021900067223,1,0.933333333333333
"sub-222",0.678671675699418,0.751729588833102,0.966666666666667,0.95
"sub-223",0.532292094985799,0.626422229987414,0.983333333333333,0.966666666666667
"sub-224",0.749078071668434,1.03980741000657,1,0.95
"sub-225",0.555087608333323,0.720626008333318,1,0.95
"sub-226",0.521581442432459,0.567436013215532,1,0.983333333333333
"sub-227",0.755858936866666,0.984969623633338,1,1
"sub-228",0.690824651657992,0.869836816661215,1,1
"sub-229",0.947743704998477,0.972985903328905,0.966666666666667,1
"sub-230",0.859011921667843,1.1086109250066,0.983333333333333,0.866666666666667
"sub-231",0.534237528849978,0.566804729433276,1,0.95
"sub-232",0.690308557516664,0.799758201350028,0.983333333333333,0.916666666666667
"sub-233",0.53788244833413,0.630177771663875,0.983333333333333,0.9
"sub-234",1.34837860000165,1.56137371666652,1,0.966666666666667
"sub-235",0.750754380000096,0.876689349994801,1,0.966666666666667
"sub-236",0.763432316672212,0.876970528339735,0.983333333333333,1
"sub-237",0.894979349995265,1.04531309832625,1,0.883333333333333
"sub-238",0.81225918924938,0.921082373900087,0.966666666666667,0.966666666666667
